Dump generated at 2018-10-11T00:53:11.084154
Rank	Team Name	School	Score
1	1064CBread	Dos Pueblos High School, Santa Barbara, CA	35135
2	Stallman's Recycle Plant	Suncoast Community High School 	34385
3	redpwn	Scarsdale High School	32485
4	ihscyber2	Interlake	31685
5	Diesel Locomotive	LASA	31685
6	pearl	Montgomery Blair High School	30835
7	cppio	WW-P High School North, Plainsboro, NJ	30835
8	West	Plano West Senior High School, Plano, TX	30835
9	Point Mass	Liberal Arts and Science Academy	30835
10	tjcsc	TJHSST	30835
11	unlimited_reagents	Bergen County Academies, Hackensack, NJ	30035
12	srikavin	RHS	29885
13	Microsoft Tech Support	Richardson High School	29335
14	Mad Mavericks	The Nueva School, San Mateo, CA	28185
15	OH--	Choate Rosemary Hall	26935
16	Literal Dips	Doral Academy Charter High School	24635
17	düp	Niles West High School	24585
18	Haxor123!	High School North, West Windsor, NJ	23635
19	L Distribution	Poolesville High School	23610
20	id0X	Del Norte	22710
21	Nebulaxc	Canisius High School	21560
22	MrSlick	Kimberly High School, Kimberly, WI	20610
23	hwcybsec	Harvard Westlake	20560
24	kusti8	High Technology High School	20160
25	A MEOW	Newark Academy	19310
26	fishy fish fish	Monta Vista	19260
27	Space	Trinity Valley School	19160
28	<svg onload=eval(atob`Zm9yKDs7KXt9`)>	Mt Lebanon	18860
29	The Treaty of Paris	Stargate High School	18860
30	Ignition	Mountain View High School	17860
31	pythonlikeyoumeanit.com	Winchester High School	17735
32	Arbabinauts	McKinney High School	17610
33	GeniusDumbos	Winston Churchill High	17310
34	Terminal_A	Wayland High School	17210
35	Thought Patrol	Granada Hills Charter High School	16810
36	CrossCountryHackers	Berkeley High	16760
37	Goofy Goobers	Central High School	16710
38	Gorillas 2	The Harker School	15960
39	PGSS2018	Uniontown Area High School, Uniontown PA	15860
40	South CSI	West Windsor-Plainsboro High School South	15810
41	The Miggels	Bergen County Academies	15760
42	TCHS - dOnT hUg Me iM scArED	Temple CIty High School	15660
43	DontBeTrash	Pattonville Highschool	15560
44	bellaire	Bellaire High School, Houston TX	15510
45	EEP Team 6	Hillside School	15485
46	PicOSIzEdbRaInS	albany high school	15410
47	Appa, Yip Yip!	High Technology High School	15160
48	orange&black	Wayland High School	15110
49	Retired Congressmen	Methacton High School	15010
50	Some Gunn Kids	Henry M. Gunn High School, Palo Alto, CA	14885
51	\x00rniths	High Technology High School	14810
52	Montgomery WCHS STEM	Winston Churchill High School	14735
53	Clements Inventors Team A	William P. Clements High School	14610
54	Delimiters	Henry M Gunn High School, Palo Alto, CA	14335
55	NotCoolBatman	Suncoast High	14310
56	mu 	Naperville North High School	14285
57	Adnan_Slef	Westerville South High School	14085
58	u+202e	Poolesville High School	13710
59	JanTheJavaMen	Suncoast High School	13610
60	xtra	Montgomery Blair High School	13560
61	McNeil Varsity	Mcneil High School	13410
62	Flying Pi's	Sycamore High School	13360
63	Feffers	Bergen County Academies	13360
64	Ocean Blue	Christopher Columbus High School	13235
65	The rejects	Richardson High School	12985
66	YellowMonkey	Richard Montgomery High School	12860
67	MAMSMemes	Mass Academy	12835
68	LasaRaptors	Liberal Arts and Science Academy, Austin, TX	12835
69	The_Delvers	Clear Springs High School	12785
70	Bongo Cats	Martin Luther King High School	12585
71	Eleanor Roosevelt High School	Eleanor Roosevelt High School	12585
72	Chipotle	Glenbrook North	12560
73	Ninja Doggy	Cupertino High School	12460
74	Branham Poetry Club	Branham High School	12435
75	lhscompsci	Lexington High School	12360
76	avr.amit02@gmail.com	xyyyzzzzzz	12285
77	127.0.0.1	Hamilton High School	12285
78	NoCaptainsHere	TJHSST	12260
79	echo $LESS_IS_MORE	Montgomery Blair	12210
80	Bumb Array	Cedar Park High School	12110
81	LFlare Army	St. Table of NULL	12010
82	Sudo_Nym	Spring-Ford High School	11910
83	araneidanGalanty	Bergenfield High School	11635
84	Altahax	The Altamont School	11560
85	Wow2	TJHSST	11485
86	Team Dr@c0	Del Norte High School	11410
87	Fellowship of Daryl	Warren Hills Regional Highschool	11360
88	Kdawg and the Funky Bunch	Houston High School	11235
89	throgers0	Debakey High School, Houston TX	11085
90	KAMSC Cyber	Kalamazoo Area of Math and Science center	10985
91	THANOSCAR!!	Sentinel	10935
92	HT_Grass	High Technology High School	10810
93	ekq	Montgomery Blair, Silver Spring, Maryland	10760
94	aksyoa	The Nueva School	10710
95	DROP TABLE teams;--	Poolesville High School	10685
96	desTroy	Troy High School	10410
97	🔫bring back the gun emoji	SMS, Overland Park, KS	10385
98	Moderately Large Titans	Union High School	10335
99	Mr Stark, I don't feel so good	Vernon Hills High School	10285
100	Open Sorcery	Andover High School	10235
101	Curiosity United	Wayland High School	10235
102	the_grand_foobar	Seneca Valley High School	10210
103	egg	Troy High School	10110
104	samwise74	Homeschool	10085
105	CyberSpace Force	Bergen County Academies	10035
106	C311UL053	Montgomer Blair High School	9935
107	The JareBares	TJHSST	9935
108	Princeton	Princeton High School	9910
109	Team Team CyberTeam	Blue Springs South High School	9860
110	carmel	Carmel High School	9785
111	The Acid Rockers	Millard North High School	9735
112	SLUH Hack Club	St. Louis University High	9635
113	Silver Dolphins	Langley High School	9585
114	sad bois	Mission San Jose High School	9410
115	ninjaferret	Atkins	9335
116	The_Deep_Pandas	Clear Springs High School	9285
117	The Digital Divas	Hebron High School	9285
118	press f	Montgomery Blair HS	9235
119	Andover Computer Science Club 1	Andover High School	9235
120	uname	Cambridge Rindge and Latin School	9185
121	Purple Party Panda Bears	Green Valley High School, Henderson, Nevada	9185
122	T.E.A.R.Y	Troy High School	9135
123	OooO0oooOOOoooOO0oOOO0OOo00O0O0oo0OOoO0o	Mission San Jose High School	9110
124	xradius	herriman high school	9085
125	tj csc	TJHSST	9035
126	Platzhalter	Cherry Creek High School	8985
127	The Juice Clan	Oak Creek High School	8935
128	Algonquin 1	Algonquin Regional High School	8885
129	Sko Knights	Fossil Ridge, Fort Collins, CO	8735
130	pretendingwecanhack	Wayzata High School	8610
131	OH_Hacking	Oakwood School, Morgan Hill, CA	8610
132	esketit	Thomas Jefferson High School	8560
133	Nerdz_Rule	T.H.Rogers School	8510
134	bobpaw	LASA, Austin, TX	8485
135	Para.dox	CAMS	8485
136	Incompetentening	Links Academy	8460
137	CaptainCyber	Cy-Creek	8385
138	Alwinfy	Westwood High School	8385
139	_daft	James I. O'Neill	8335
140	joeyjon123	Cupertino High School	8285
141	Niwot 1	Niwot High School	8260
142	PC Programming Team	Panther Creek High School	8235
143	notaflag	Hamilton Southeastern High School	8210
144	Moss	Troy Athens High School, Troy, MI	8085
145	Will Hack for Food	Cerritos High School	8085
146	↾Sad Mavericks⇃	The Nueva School	8060
147	PotatoFamine	Poolesville High School	8010
148	404_team_name_not_found	Washington High School	8010
149	SMERD	Grandview High School	8010
150	The Hanlonators	Walter Johnson High School	7985
151	Lakeview picoCTF	Lakeview Academy	7935
152	skat	Los Amigos High School	7935
153	SAD team	TJHSST	7885
154	Team137FromMHS	McKinney High School	7860
155	Code Breakers	Monta Vista High	7835
156	CANT	Bergen County Academies	7785
157	Zucc113	Ygnacio Valley High School	7785
158	weNeedATeamName	Deep Run High School, Henrico, VA	7785
159	The Fellas	Gunn High School	7735
160	POPIPO	Princeton High School	7735
161	eth0	Cedar Park High School	7710
162	Starclash	Countryside High School, Clearwater, Fl	7660
163	Honduras Smash	Grafton High School	7660
164	Knights of the Valley	Perkiomen Valley	7585
165	TRUFFLEHUNTERS	Charlottesville High School	7585
166	ctfBKErs	Freehold High School	7560
167	Last Place	Poolesville HS	7510
168	gocards	Lincoln High School, Portland, OR	7460
169	Team Advil	sentinel high school	7460
170	MY PAIN IS STILL FAR GREATER THAN YOURS	Northwest High School	7435
171	MAMS Juniors	Mass Academy of Math and Science	7285
172	gooddogcarl	Blacksburg High School	7285
173	pKachu (successor of pThunder)	Thomas S. Wootton High School	7260
174	Sea Urchin Stew	Poolesville High School	7260
175	The Noodles	Union County Magnet High School	7210
176	The AD Objects	Countryside High School	7185
177	Wow	Thomas Jefferson High School	7160
178	Washington Lee Computer Science Club	Washington Lee High School	7160
179	stevengao	PEA	7160
180	CONFUOCO	Langley Highschool	7135
181	Wootton CTF 1	Thomas S. Wootton High School	7085
182	GHCHS Dinhers	Granada Hills Charter	7060
183	Mustangs	McCracken County High School	7010
184	Patrick Henry High School Cyber Team 1	Patrick Henry High School	7010
185	avismagpie075	Bellaire High School	7010
186	Warriors	Westwood High School	7010
187	Turt the Turtle	Hershey Middle School	6985
188	A bunch of	Countryside High School	6960
189	dictat0rs.php	Wellesley Highschool	6910
190	TurKimPan	Phillips Academy Andover	6910
191	CB49	School of Science and Technology	6885
192	[Citation Needed]	White Station High School	6860
193	sciclone1984	LuHi	6860
194	Loitering and Prowling	countryside high school	6860
195	Cyber Foxes	Fox Chapel Area High School, Pittsburgh PA	6835
196	SupplyAndDemand	Hun School of Princeton	6810
197	Mr. Renwick's Allstars	Westfield High School	6785
198	RHS Echo 	Rocklin High	6760
199	sīkəˈdelik həriˌkāns	Palmetto Scholars Academy	6710
200	Yes, No, Maybe	South-Western Career Academy	6685
201	SSTCTF2	School of Science and Technology	6660
202	EAHS-Phoenix Flame LLC	Elkhorn Area High School	6660
203	MCCC	Brunswick High School	6635
204	smartersorter	Troy High School	6610
205	Team AU	Cerritos High School	6610
206	Appldroid	Amador Valley	6585
207	deepfreeze	Glenn A. Wilson	6585
208	CJG	St. Dominic	6560
209	mMAD	CAMS, Carson, CA	6535
210	i need lamps	Green Valley High School	6510
211	TeamName //TODO: pick name	Suncoast	6485
212	nikpate	The Nueva School	6485
213	team braddock	lake braddock	6460
214	SpringFord	Spring Ford High School	6460
215	Ideaventions Academy	Ideaventions Academy, Reston VA	6435
216	Team Morpheus	Santa Teresa High School	6435
217	the epic haydens	LASA	6410
218	Hack Street Boyz	Warren Hills	6410
219	DHSDestroyers	Dublin High School	6335
220	Foxy Grandpa	Countryside High School	6310
221	cybersister	Padua Academy	6310
222	Cerritos Alpha	Cerritos High School	6260
223	MK & the BABES	Wayland High School	6260
224	Nomadic Hermits	Ayala High School	6260
225	asian_glasses_kids	Troy High School	6235
226	Yeetus the Fetus	North Allegheny Senior High School	6210
227	Almond Robotics	Herbert Hoover	6210
228	youngscholarlygentleman	CAMS	6160
229	HackThePlanet	West Forsyth High School	6160
230	FalconPickedLast	Highlands Ranch Highschool	6135
231	~El Psy Congroo~	Poolesville High	6135
232	McJeb	Wayland High School	6110
233	jkjodonovan	Langley High School	6100
234	malloc(win)	Homeschool	6085
235	Seaholm Cybersecurity Club	Seaholm High School	6085
236	PHSCRC	Princeton High School, Princeton, NJ	6060
237	CS Gods	The Lawrenceville School	6060
238	STEMSEC	Northwest Highschool	6060
239	Pretzle	Cerritos High School	6060
240	ID10T Errors	Brenham High School	6035
241	Mango Squad	Mongomery Blair High School	6010
242	SJP Robotics	St. John's Prep	6010
243	mamszors	Massachusetts Academy of Math and Science	6010
244	TheJabberwocky	Piedmont Hills High School	6010
245	Yeon Gang II	Martin Luther King High School	5985
246	Ace of Spades Hackers	Ledyard High School, Connecticut	5960
247	Chaim Time Cybersecurity	East Brunswick High School	5910
248	HeptaDecaComputing	Lake Travis High School, Austin, TX	5910
249	wapgal	RBRHS	5910
250	OnePunchMen	Adlai E. Stevenson High School	5885
251	kitties	West Windsor Plainsboro High School North	5860
252	Falcon Transfer Protocol	Highlands Ranch HS	5835
253	FalmouthCPC	Falmouth High School	5810
254	24Cyberry24	Central Campus, Des Moines IA	5760
255	JaydenB0	Beverly Hills High School	5760
256	>:V	East Brunswick High School	5760
257	Cybermonkeys	Cerritos HS	5760
258	JAJ	Red Bank Regional	5750
259	LSigma	Gunn High School	5710
260	TeamSupreme	Paideia School	5685
261	The Hacker Crackers	East Lake High School	5685
262	KAZC	LASA	5660
263	Rob	Wayland High School	5660
264	a.t.she.s	Bergen County Academies	5600
265	TerrorBytes	Stargate High School	5560
266	Night Owls	Poolesville High School	5560
267	Muffin	Mckinney High School	5560
268	CripplingRegulation	East Brunswick High School	5535
269	Dab on The Haters	Becker Middle School, Becker, Minnesota	5535
270	Los Pollos Hermanos	Poolesville High School	5510
271	TheMilky	Richardson High School	5510
272	flamingdragon42	Golden Valley HS	5510
273	Bazinga Bois	Warren Hills Reg High School	5510
274	StackOverFlow	Monta Vista High School	5485
275	ElixirOfTheGods	Niles West High School	5410
276	Firewall Busters	Julius West Middle School	5385
277	gnugnuhypetrain	Thomas Jefferson High School, Jefferson Hills, PA	5360
278	Krabby O' Monday's	Countryside High School	5360
279	457465726e697479	Faith Lutheran High School	5360
280	TheMASHThemeSong	Paideia School, Atlanta, Ga	5360
281	Team 15	T H Rogers, Houston, TX	5360
282	Fox Chapel Computing	fox chapel	5360
283	The Hacker Hub	Miller Career and Technology Center	5335
284	TheBOULDER	Murrieta Mesa High School	5325
285	PineappleLemonadeCake	Poolesville High School	5310
286	you heard	west windsor plainsboro- high school north	5310
287	PCHS Catamounts	Panther Creek High School	5310
288	picoCTF 2018	Hamilton Southeastern High School	5310
289	Team Pancake	Harvard-Westlake	5260
290	DOOM	Paul VI	5260
291	FalconBots	Highlands Ranch	5210
292	Hacker People	Houston High School	5210
293	4CME	Palmetto Scholars Academy	5210
294	cscamp_team_pink	Bergen County Academies, Hackensack, NJ	5210
295	Stephen Hawking's School of Dance	McKinney High School	5210
296	Team name	Poolesville High School	5160
297	Firestrike	The Nueva School	5160
298	DankMemes	High School North	5110
299	k3Lp	Montgomery Blair High School	5110
300	Math.cheese()	mckinney high school	5110
301	Acheron	Montgomery Blair High School	5085
302	BigRed	The Paideia School	5085
303	temrock	Richard Montgomery High School	5060
304	Knights of the Round Table	NeoCity	5060
305	AUDI NO META	Montgomery Blair High School	5060
306	Zephrost	San Dimas	5060
307	AdmiralNelson	Parkview High School	5035
308	limited_reagants	Bergen County Academies	5010
309	fresea	Western Dubuque	5010
310	Cyber-Bullies	Granada Hills Charter High School	5010
311	Turing complete	Mission San Jose high, fremont CA	4985
312	jollypolly123	Livingston High School	4985
313	Wayland Warriors	Wayland High School, Wayland, MA	4960
314	cyberteam	Mililani High	4960
315	#Diversity	Harvard Westlake School, Studio City, CA	4960
316	The Centralites	Central High School	4910
317	Smanderson	Wellesley High School	4910
318	Millennium Potatoes	Green Hope High School	4885
319	MrYrs	Dublin High School, Dublin, CA 	4885
320	CTECH1	Rochester CTECH	4860
321	TheJavaNerd	Homeschooled	4760
322	1337 H4ck3rz	St. Dominic High School	4760
323	The Lil Hacker$	T.H. Rogers Middle School	4760
324	gaws cybergang	Green Hope High School	4735
325	MediumPurple	STEM School 	4710
326	Code Blue	Brunswick High School	4710
327	LeeroyJenkins	Cerritos High School	4710
328	Error #404- Team Not Found	Matoaca High School	4660
329	Team Useless Sophomores	Darien High School	4660
330	starwars	Lexington high School	4660
331	$(teamname)	Faith Lutheran HS	4635
332	FloatingPumpkins	Countryside High School	4635
333	Renox's Amazingly Incompetent Team	Winston Churchill High School	4610
334	Cybernetics Core	Academy for Science and Design	4610
335	NG Uniquely Qualified	New Glarus, New Glarus WI	4610
336	heckers	tri-county	4610
337	Feel Good Inc	Green Hope High School	4610
338	Spencer04Hire	Eastlake High School	4610
339	SJCDS	John Champe High School	4610
340	Transform10	East Chapel Hill High School	4600
341	433341	Liberal Arts and Science Academy, Texas, TX	4560
342	ConeCrew	Countryside High School	4560
343	F5 CyberTeam	San Marcos High School	4560
344	Matr1x	Del Norte High School, San Diego, CA	4535
345	DigiBrkr	The Excelsior Academy, Odenton, MD 	4535
346	M.E.T.A.s	South High School, Torrance, CA	4535
347	PenguinsUnite	Sentinel High School	4510
348	thatTeam	Takoma Park Middle School	4510
349	Natfly99	New Rochelle High school	4510
350	hackboi	ascension catholic	4485
351	Defenestration	Glen A. Wilson High School, Hacienda Heights, CA	4485
352	joshuas3	Reed-Custer High School, Braidwood, IL	4460
353	Senioritis2019	Albany High School	4460
354	TheThirdTriumvirate	Peters Township High School	4460
355	alanna13v	Fletcher Middle School	4460
356	Jesuit High School	Jesuit High School, Carmichael	4410
357	Syntax Errors	Assurance Learning Academy	4410
358	suufi	Peachtree Ridge High School	4410
359	Something	Clear Springs High School	4410
360	:b:	School of Science and Technology	4360
361	QWERTY	Mount Hebron High School	4360
362	Give me your shredded cheese	Monterey High School	4360
363	Cyb3r3lkz	Elkhorn Area High School	4350
364	MLKHS Team A	Martin Luther King	4310
365	amhs2	Academic Magnet High School	4310
366	MURDA PICO	Mamaroneck High School, Mamaroneck, NY	4260
367	botterflies	Montgomery Blair HS	4235
368	MaroonRaiders	Alpharetta High School	4235
369	JaffesArmy_	Patrick Henry High School	4235
370	Freedom Fighderps	West Allegheny High School	4210
371	Tech Support	Poolesville High School	4210
372	2B||!2B	Amador Valley High School	4210
373	4chan.org	Houston High School	4210
374	Saltines	Mix	4210
375	Big Green	Deerfield Academy	4210
376	Westwood Hackers A	Westwood High School	4200
377	stupidfoxes	Creekside High School	4185
378	Ctrl-Alt-Delete If Leave Your Seat	blue springs south high school	4185
379	EAHS Cyber Force	Elkhorn Area High School	4175
380	; DROP TABLE TEAMS	Academy for Science and Design	4160
381	Bougie Jank	Waipahu High School	4160
382	R00N1L WASDL18	Cedar Park High School	4125
383	The Mustangs	Damonte Ranch High School	4110
384	Ridiculous and Pretentious	Blue Springs South High School, Blue Springs MO	4110
385	Jeroos	niles west high school	4085
386	Cyber Sweatshop	Nelson High School, Nelson County, VA	4075
387	AKB	Canby High School	4060
388	Creative Team Name	Thomas Jefferson High School	4060
389	oof	Poolesville HS	4060
390	All The Girls Except One	Harvard-Westlake School	4060
391	SUAC 2.0	Harvard-Westlake HS	4060
392	SweetNSavory	Murrieta Mesa HS, Murrieta, California	4060
393	MHS Coding	Mamaroneck High School	4035
394	infernalempress	Riley High School, South Bend, IN	4035
395	keg	Rouse	4035
396	Logang	Green Hope High School	4035
397	MC_GANG	Poolesville High School	4010
398	Meme Bean Team	Richardson High School	4010
399	Stuboucherwin	Tri-County RVTHS, Franklin, MA	4010
400	The REEers	Washington high School	4010
401	TripleM	Red Bank Regional High School	3975
402	qubits	TJHSST	3960
403	PythonIsASnake	Mt. Lebanon High School	3960
404	PancakeSausageOnAStick	Hebron High School	3960
405	RiceGivers	The Dalton School	3960
406	Control Alt Defeat	Seven Lakes High School, Katy, TX	3960
407	DOGGOS	Golden Valley, Santa Clarita, CA	3950
408	kj2odonovan	Langley High School	3925
409	isthisagame	McCracken County High School	3910
410	Abbas	John Dickinson Highschool	3860
411	Xx_TeKS_Nerds_xX	Londonderry High School	3860
412	The Wanted	ITSA	3860
413	ITBullDogs	Oak Hills High School	3860
414	Gorilla Apparel 13	Warren Hills Regional High School	3860
415	Mount Cleverest	Miami Valley Career Technology Center	3810
416	ByteMe	Houston High School	3810
417	AltamontCyberSecurityTeamB	Altamont School	3810
418	JustFaxNoPrinter	Enloe High School	3800
419	ctrl z	Wellesley High School	3800
420	Weight Watchers	Cerritos High School	3800
421	\/\/3 G0|\| \/\/1n	Bentonville High School	3785
422	faris639	Wellesley High School	3785
423	TeamTastyTiramisu	Venice High School	3785
424	ccarter	Alburnett	3785
425	Pico De Gallo	Sentinel High School	3775
426	MIBR	Warren Hills Regional High School	3760
427	\'/ DELTA SQUAD 赤	riley high school	3760
428	PHS2PicoFTW	Plum Senior High	3750
429	historyisanepicstory	Metro Early College High School, Columbus OH	3735
430	Gorb	Lake Travis High School	3725
431	The Combative Sloths	John F. Kennedy Cedar Rapids	3710
432	Drakemperor	Poolesville High School, Poolesville, USA	3710
433	Pseudocode	Holy Ghost Prep	3710
434	["Hip","Hip"]	Grafton High School	3700
435	D22Ninjas	Theodore Roosevelt High School	3685
436	ScopeCreeps	Countryside High School	3675
437	carnivorousseasquirt	East Lake High School	3675
438	toaster	Cupertino Middle School	3660
439	Gunn High School	Gunn High School	3660
440	Nuka cola	Tri-County RVTHS	3660
441	zajebamter28	Pittsburg	3660
442	asagohan	R. Nelson Snider High school	3625
443	Kapolei Savagers	Kapolei High School	3610
444	gttotev	William S. Hart High School, Newhall, CA	3610
445	genericTeamName	Naperville Central High School	3585
446	Loser Idiots	Hamilton Southeastern High School	3585
447	cristy	Golden Valley High School, Santa Clarita, CA	3575
448	goodluck	NANI	3560
449	SixthDimension	Rock canyon High School	3560
450	AI_Majors	Grafton High School	3550
451	Nichols School	Nichols School	3550
452	cyberteamAlpha	Mililani High School	3535
453	aidan0	Mountain View High School	3535
454	sudo man	Santa Teresa High School	3525
455	The-CPUs	Dublin High School	3510
456	The Mighty Pigacorns	Riley High School	3510
457	Victorious Secret	Glades Middle School	3510
458	The Cloudenettes	West Leyden High School	3510
459	IllegalAwesomenessException	Phillips Academy	3510
460	권민성1인팀	Korea.univ	3475
461	String cheese	Harvard-Westlake, CA	3460
462	RanchItUp	Red Bank Regional High School	3460
463	The Rad Lads	Shawsheen Technical High School	3460
464	xzrderek	Dublin Highschool	3460
465	1337h4x0rz	Niskayuna High School	3460
466	BackrowBananza	WDHS	3450
467	BlackOut	Lincoln High School	3450
468	MLCPA1	MLCPA	3435
469	sudo apt remove sudo	Brunswick High School	3410
470	ironhaven	Centennial High School	3410
471	JCIB	JCIB, Irondale, AL	3410
472	Scorpion	Forest City Regional High School	3410
473	SUPER PONNIES	Granite Bay	3410
474	I.C.E.	Derby High School	3400
475	kool kids	Ledyard High School, CT	3400
476	Quantum Edge	William Mason High School	3385
477	aphelps	Alburnett High School	3385
478	♪(๑ᴖ◡ᴖ๑)♪	Hun School of Princeton 	3385
479	Web	Granite Bay High School	3385
480	The Pizza Heads	Homestead High School, Cupertino, CA	3385
481	Senioritis	Manalapan High School, Manalapan, New Jersey	3360
482	urmom	Vandegrift High School	3360
483	SWCA_Cyber	south western career academy	3360
484	Losefence	Creekside	3360
485	heist&co	Harvest Christian Academy	3360
486	The Redundant Pigeons	Upper Arlington High School	3310
487	TheGodChamp	Choctaw High School	3310
488	javaGods();	Niles West High School	3310
489	△Triangle△	Tri-County RVTHS	3310
490	MHSCyber	Matoaca High School 	3300
491	DefaultTeamName	Londonderry High School	3300
492	CyberMustangs	Damonte Ranch Highschool	3275
493	11235813	MBHS	3275
494	WissaChickens	Wissahickon High School	3275
495	MiniHacker	Harvest Christian Academy, Barri	3275
496	Infernal Ifrits	Miami Valley Career Technology Center, Clayton, OH	3260
497	updown1	James Logan High School	3260
498	something	Hershey High School	3260
499	jhynx	TJHSST	3235
500	binuforce	Tri-County Regional Vocational Technical	3235
501	Notorious Skeeters	Upper Arlington High School	3235
502	firenation	Bronx High School of Science, Bronx NY	3210
503	Factory 1984	Dublin High School	3210
504	obidubi	Owen J Roberts	3210
505	1019300	South High School	3210
506	Govies2	scgssm	3185
507	Ignis	Cerritos High School	3175
508	Baby Got Hack	Seneca Valley Senior HIgh School	3160
509	TheBeesKnees	Hun School of princeton	3135
510	Thomas Sprigg Wootton Flag Hunters	Thomas Sprigg Wootton High School	3125
